factor_id,family,family_use,best_horizon,direction,rating,primary_use,edge_pct,long_return_pct,edge_win_pct,mean_ic,ic_ir,monotonicity,note
Alpha121,price_volume_corr,volume_price_divergence_and_confirmation,T+5,high_is_better,strong,gate_or_rank_candidate,0.1016,0.6499,58.37,0.048363,5.7325,0.3449,
Alpha122,momentum_reversal,momentum_reversal_or_repair_regime,T+5,low_is_better,strong,gate_or_rank_candidate,0.0604,0.677,51.88,-0.049159,-5.5515,-0.713,
Alpha123,price_volume_corr,volume_price_divergence_and_confirmation,T+1,high_is_better,insufficient,do_not_use_until_coverage_fixed,,,,,,,
Alpha124,vwap_deviation,cost_deviation_and_intraday_position_proxy,T+5,low_is_better,medium,environment_confirm_or_aux_rank,0.1661,0.8445,54.81,-0.017482,-3.7477,-0.6229,
Alpha125,price_volume_corr,volume_price_divergence_and_confirmation,T+5,high_is_better,medium,environment_confirm_or_aux_rank,0.1009,0.7366,51.67,0.01688,2.8476,0.804,
Alpha126,price_structure,price_location_and_structure,T+5,low_is_better,medium,environment_confirm_or_aux_rank,0.1149,0.7338,53.14,-0.02722,-2.4024,-0.964,
Alpha127,price_structure,price_location_and_structure,T+5,high_is_better,strong,gate_or_rank_candidate,0.376,0.7831,50.84,0.015146,1.709,0.8567,
Alpha128,price_volume,liquidity_and_volume_price_strength,T+5,low_is_better,strong,gate_or_rank_candidate,0.1859,0.6697,55.65,-0.043746,-7.187,-0.5373,
Alpha129,momentum_reversal,momentum_reversal_or_repair_regime,T+5,high_is_better,medium,environment_confirm_or_aux_rank,0.0371,0.6737,48.12,-0.031839,-2.5965,0.6303,
Alpha130,price_volume_corr,volume_price_divergence_and_confirmation,T+5,high_is_better,medium,environment_confirm_or_aux_rank,0.0933,0.7464,56.28,0.018526,5.0677,0.8022,
Alpha131,price_volume_corr,volume_price_divergence_and_confirmation,T+5,low_is_better,medium,environment_confirm_or_aux_rank,0.1115,0.6855,51.46,-0.022183,-3.4559,-0.7325,
Alpha132,price_volume,liquidity_and_volume_price_strength,T+5,low_is_better,strong,gate_or_rank_candidate,0.565,1.0201,61.09,-0.06867,-7.5292,-0.9704,
Alpha133,price_structure,price_location_and_structure,T+5,low_is_better,strong,gate_or_rank_candidate,0.1811,0.7042,58.16,-0.042517,-6.6666,-0.6645,
Alpha134,price_volume,liquidity_and_volume_price_strength,T+5,low_is_better,strong,gate_or_rank_candidate,0.3183,0.6528,60.25,-0.053382,-8.4502,-0.5653,
Alpha135,momentum_reversal,momentum_reversal_or_repair_regime,T+5,low_is_better,strong,gate_or_rank_candidate,0.15,0.755,51.88,-0.049029,-5.1172,-0.9463,
Alpha136,price_volume_corr,volume_price_divergence_and_confirmation,T+5,high_is_better,strong,gate_or_rank_candidate,0.3409,0.829,61.51,0.02834,5.1189,0.7992,
Alpha137,momentum_reversal,momentum_reversal_or_repair_regime,T+5,low_is_better,strong,gate_or_rank_candidate,0.2627,0.6964,55.65,-0.036362,-4.3594,-0.7021,
Alpha138,price_volume_corr,volume_price_divergence_and_confirmation,T+5,low_is_better,medium,environment_confirm_or_aux_rank,0.1328,0.7289,52.09,0.011117,1.938,-0.4894,
Alpha139,price_volume_corr,volume_price_divergence_and_confirmation,T+5,high_is_better,strong,gate_or_rank_candidate,0.4635,0.8426,67.78,0.041956,8.6436,0.921,
Alpha140,price_volume_corr,volume_price_divergence_and_confirmation,T+5,low_is_better,strong,gate_or_rank_candidate,0.106,0.6439,50.0,0.053486,8.056,-0.495,
Alpha141,price_volume_corr,volume_price_divergence_and_confirmation,T+5,high_is_better,medium,environment_confirm_or_aux_rank,0.131,0.6977,63.18,0.011891,4.9133,0.6774,
Alpha142,price_volume,liquidity_and_volume_price_strength,T+1,low_is_better,medium,environment_confirm_or_aux_rank,0.0522,0.1392,49.17,0.017653,2.4711,-0.6932,
Alpha143,custom_state,extra_data_required,,,needs_data_source,unavailable_until_extra_data_added,,,,,,,needs SELF recursive/custom state
Alpha144,price_volume,liquidity_and_volume_price_strength,T+5,high_is_better,strong,gate_or_rank_candidate,0.5832,1.053,63.81,0.043516,5.0104,0.9383,
Alpha145,price_volume,liquidity_and_volume_price_strength,T+5,low_is_better,strong,gate_or_rank_candidate,0.3399,0.7639,60.88,-0.050165,-8.4346,-0.7854,
Alpha146,momentum_reversal,momentum_reversal_or_repair_regime,T+1,high_is_better,watch,monitor_only,0.081,0.171,54.98,-0.000484,-0.0837,0.9494,
Alpha147,price_structure,price_location_and_structure,T+5,low_is_better,strong,gate_or_rank_candidate,0.2564,0.7287,58.79,-0.045005,-5.4229,-0.7196,
Alpha148,price_volume_corr,volume_price_divergence_and_confirmation,T+1,high_is_better,insufficient,do_not_use_until_coverage_fixed,,,,,,,
Alpha149,benchmark_style,benchmark_relative_style,T+5,high_is_better,strong,gate_or_rank_candidate,0.5619,0.9575,58.79,0.020542,2.3906,0.9998,
